Timepoints,Liver signal,AIF
39090.225,350.416,208.667
39092.405,340.694,173.355
39094.585,340.694,184.337
39096.762,343.467,179.952
39098.943,339.256,169.614
39101.12,340.946,192.002
39103.3,340.538,178.545
39105.48,344.25,183.697
39107.658,337.09,171.464
39109.837,340.317,175.95
39112.018,337.043,174.658
39114.195,344.992,180.465
39116.375,341.21,172.435
39118.553,346.609,180.751
39120.732,337.898,176.711
39122.913,349.008,192.964
39125.09,342.703,182.47
39127.27,335.983,173.921
39129.45,339.731,187.593
39131.628,335.486,180.868
39133.807,341.799,185.761
39135.988,339.746,179.434
39138.165,338.576,189.673
39140.345,342.297,178.083
39142.523,339.415,179.524
39144.702,336.731,173.852
39146.883,340.211,180.611
39149.06,339.665,172.095
39151.24,337.551,177.128
39153.42,338.383,178.511
39155.598,342.713,185.234
39157.777,337.594,185.756
39159.955,337.645,187.934
39162.135,340.472,185.507
39164.315,344.982,184.402
39166.492,336.89,174.118
39168.673,340.28,199.912
39170.852,342.119,174.845
39173.03,345.446,192.718
39175.21,343.093,171.393
39177.39,342.31,185.929
39179.568,340.666,177.545
39181.747,344.208,203.088
39187.945,346.23,185.622
39190.125,350.613,187.335
39192.305,337.862,169.165
39194.482,338.647,174.925
39196.663,334.053,171.982
39198.842,334.409,191.376
39201.02,333.695,171.258
39203.2,339.13,180.52
39205.378,334.154,181.384
39207.557,335.864,182.186
39209.738,341.232,180.061
39211.915,334.795,168.127
39214.095,336.414,190.146
39216.275,336.659,173.277
39218.452,336.229,194.106
39220.633,331.3,175.633
39222.81,338.487,172.358
39224.99,344.189,194.692
39227.17,339.723,169.538
39229.348,346.199,181.024
39231.527,334.342,184.258
39233.708,347.146,185.491
39235.885,332.702,171.778
39238.065,343.485,189.773
39240.245,340.402,171.447
39242.423,344.648,187.516
39244.602,337.242,169.367
39246.78,338.991,183.422
39248.96,340.162,172.289
39251.14,333.351,178.219
39253.318,334.402,181.003
39255.497,336.366,175.588
39257.678,334.498,174.457
39259.855,335.034,177.376
39262.035,336.242,187.603
39264.215,335.711,175.133
39266.393,346.393,176.602
39268.572,337.646,172.206
39270.75,347.599,185.523
39272.93,332.917,176.023
39275.11,340.42,188.526
39277.288,334.418,170.762
39279.467,339.905,174.195
39281.648,333.475,167.587
39283.825,343.404,189.713
39286.005,331.925,173.511
39288.182,343.747,193.581
39290.363,335.425,166.669
39292.542,345.756,182.442
39294.72,334.785,179.714
39296.9,344.474,179.63
39299.08,334.278,184.584
39301.258,335.787,192.139
39303.438,339.111,176.819
39305.617,343.5,183.116
39307.795,336.534,184.445
39309.975,345.287,179.881
39312.152,333.327,167.124
39314.333,346.141,197.397
39316.512,339.681,182.098
39318.69,341.723,181.986
39320.87,339.873,174.197
39323.05,337.019,183.222
